WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts, LbrHrs , PartsCost ,Payment, Wait ,LbrRate, LbrCost , LbrFee , PartsFee , TotalCost , TotalFee ,ReqDay,WorkDay
A00135,Northwest,Khan,Assess,,14-Sep-20,24-Sep-20,2,,,0.25,126.62,C.O.D.,10,#REF!,#REF!,#REF!,126.62,#REF!,#REF!,Mon,Thu
A00136,West,Khan,Replace,,14-Sep-20,28-Sep-20,1,,,1.5,251,Account,14,#REF!,#REF!,#REF!,251,#REF!,#REF!,Mon,Mon
A00137,Southeast,Cartier,Assess,Yes,14-Sep-20,5-Oct-20,1,,,0.5,395.28,P.O.,21,#REF!,#REF!,#REF!,395.28,#REF!,#REF!,Mon,Mon
A00138,Northwest,Michner,Deliver,Yes,14-Sep-20,7-Oct-20,1,,,0.25,36,Account,23,#REF!,#REF!,#REF!,36,#REF!,#REF!,Mon,Wed
A00139,South,Lopez,Assess,,14-Sep-20,23-Nov-20,1,,,1.75,510.68,P.O.,70,#REF!,#REF!,#REF!,510.68,#REF!,#REF!,Mon,Mon
A00140,Northwest,Michner,Replace,,15-Sep-20,7-Oct-20,2,,,0.5,42.66,Account,22,#REF!,#REF!,#REF!,42.66,#REF!,#REF!,Tue,Wed
A00141,West,Khan,Replace,,16-Sep-20,28-Sep-20,1,,,1,5.47,C.O.D.,12,#REF!,#REF!,#REF!,5.47,#REF!,#REF!,Wed,Mon
A00142,Northwest,Khan,Assess,Yes,16-Sep-20,28-Sep-20,1,,,0.25,45.24,Account,12,#REF!,#REF!,#REF!,45.24,#REF!,#REF!,Wed,Mon
A00143,Northwest,Burton,Assess,,16-Sep-20,1-Oct-20,2,,,0.75,199.45,C.O.D.,15,#REF!,#REF!,#REF!,199.45,#REF!,#REF!,Wed,Thu
A00144,Southeast,Burton,Assess,,16-Sep-20,5-Oct-20,2,,,0.5,144,C.O.D.,19,#REF!,#REF!,#REF!,144,#REF!,#REF!,Wed,Mon
A00145,Southeast,Burton,Deliver,,17-Sep-20,6-Oct-20,1,,,0.25,6.22,C.O.D.,19,#REF!,#REF!,#REF!,6.22,#REF!,#REF!,Thu,Tue
A00146,Northwest,Michner,Replace,,17-Sep-20,12-Oct-20,2,,,1,36,Account,25,#REF!,#REF!,#REF!,36,#REF!,#REF!,Thu,Mon
A00147,Central,Cartier,Assess,,17-Sep-20,12-Oct-20,2,,,0.75,40,C.O.D.,25,#REF!,#REF!,#REF!,40,#REF!,#REF!,Thu,Mon
A00148,South,Lopez,Assess,,17-Sep-20,17-Nov-20,1,,,0.25,87.58,Account,61,#REF!,#REF!,#REF!,87.58,#REF!,#REF!,Thu,Tue
A00149,West,Khan,Replace,,21-Sep-20,28-Sep-20,1,,,0.5,30,C.O.D.,7,#REF!,#REF!,#REF!,30,#REF!,#REF!,Mon,Mon
A00150,Southeast,Michner,Deliver,,21-Sep-20,19-Oct-20,1,,,0.25,144,P.O.,28,#REF!,#REF!,#REF!,144,#REF!,#REF!,Mon,Mon
A00151,West,Khan,Replace,Yes,21-Sep-20,4-Nov-20,1,,,0.75,297.51,Account,44,#REF!,#REF!,#REF!,297.51,#REF!,#REF!,Mon,Wed
A00152,West,Michner,Assess,,21-Sep-20,25-Nov-20,1,,,0.5,64.17,P.O.,65,#REF!,#REF!,#REF!,64.17,#REF!,#REF!,Mon,Wed
A00153,South,Lopez,Deliver,,22-Sep-20,1-Oct-20,1,,,0.25,20.48,Account,9,#REF!,#REF!,#REF!,20.48,#REF!,#REF!,Tue,Thu
A00154,West,Khan,Repair,,23-Sep-20,7-Oct-20,1,,,1,200,C.O.D.,14,#REF!,#REF!,#REF!,200,#REF!,#REF!,Wed,Wed
A00155,Southeast,Burton,Repair,,23-Sep-20,15-Oct-20,1,,,1.5,123.96,C.O.D.,22,#REF!,#REF!,#REF!,123.96,#REF!,#REF!,Wed,Thu
A00156,Central,Cartier,Replace,,23-Sep-20,24-Oct-20,1,,,0.5,193.88,Account,31,#REF!,#REF!,#REF!,193.88,#REF!,#REF!,Wed,Sat
A00157,Southeast,Khan,Assess,,23-Sep-20,28-Oct-20,2,,,0.5,1.17,C.O.D.,35,#REF!,#REF!,#REF!,1.17,#REF!,#REF!,Wed,Wed
A00158,Central,Michner,Assess,,24-Sep-20,5-Oct-20,2,,,0.75,664.79,Account,11,#REF!,#REF!,#REF!,664.79,#REF!,#REF!,Thu,Mon
A00159,Northwest,Khan,Deliver,,24-Sep-20,15-Oct-20,1,,,0.25,160,Account,21,#REF!,#REF!,#REF!,160,#REF!,#REF!,Thu,Thu
A00160,Northwest,Burton,Replace,,24-Sep-20,5-Nov-20,2,,,0.75,159.5,Account,42,#REF!,#REF!,#REF!,159.5,#REF!,#REF!,Thu,Thu
A00161,North,Cartier,Assess,,24-Sep-20,17-Nov-20,2,,,0.75,169.64,P.O.,54,#REF!,#REF!,#REF!,169.64,#REF!,#REF!,Thu,Tue
A00162,Southwest,Burton,Replace,,28-Sep-20,30-Sep-20,2,,,0.5,202.86,Account,2,#REF!,#REF!,#REF!,202.86,#REF!,#REF!,Mon,Wed
A00163,South,Lopez,Assess,,28-Sep-20,7-Oct-20,1,,,0.5,10.53,P.O.,9,#REF!,#REF!,#REF!,10.53,#REF!,#REF!,Mon,Wed
A00164,Central,Michner,Replace,,28-Sep-20,27-Oct-20,2,,,0.75,1.82,C.O.D.,29,#REF!,#REF!,#REF!,1.82,#REF!,#REF!,Mon,Tue
A00165,South,Khan,Assess,,29-Sep-20,8-Oct-20,2,,,0.5,54.12,Account,9,#REF!,#REF!,#REF!,54.12,#REF!,#REF!,Tue,Thu
A00166,Northwest,Michner,Deliver,,29-Sep-20,21-Oct-20,2,,,0.25,367.71,Account,22,#REF!,#REF!,#REF!,367.71,#REF!,#REF!,Tue,Wed
A00167,West,Lopez,Assess,,29-Sep-20,19-Oct-20,1,,,1.5,139.04,Account,20,#REF!,#REF!,#REF!,139.04,#REF!,#REF!,Tue,Mon
A00168,West,Khan,Replace,,29-Sep-20,27-Oct-20,1,,,0.5,50.32,P.O.,28,#REF!,#REF!,#REF!,50.32,#REF!,#REF!,Tue,Tue
A00169,Central,Burton,Repair,,29-Sep-20,24-Nov-20,1,,,1,122.43,C.O.D.,56,#REF!,#REF!,#REF!,122.43,#REF!,#REF!,Tue,Tue
A00170,West,Khan,Assess,,29-Sep-20,2-Dec-20,1,,,1,78.55,P.O.,64,#REF!,#REF!,#REF!,78.55,#REF!,#REF!,Tue,Wed
A00171,Northwest,Khan,Deliver,Yes,30-Sep-20,7-Oct-20,1,,,0.25,239.1,Account,7,#REF!,#REF!,#REF!,239.1,#REF!,#REF!,Wed,Wed
A00172,Central,Cartier,Replace,,30-Sep-20,19-Oct-20,1,,,0.5,61.18,C.O.D.,19,#REF!,#REF!,#REF!,61.18,#REF!,#REF!,Wed,Mon
A00173,Northwest,Cartier,Repair,,30-Sep-20,18-Nov-20,2,,,2.25,800.71,Account,49,#REF!,#REF!,#REF!,800.71,#REF!,#REF!,Wed,Wed
A00174,Northwest,Khan,Assess,,1-Oct-20,26-Oct-20,1,,,0.25,19.2,Account,25,#REF!,#REF!,#REF!,19.2,#REF!,#REF!,Thu,Mon
A00175,South,Lopez,Assess,,5-Oct-20,13-Oct-20,1,,,0.25,19.5,Account,8,#REF!,#REF!,#REF!,19.5,#REF!,#REF!,Mon,Tue
A00176,South,Lopez,Deliver,,5-Oct-20,13-Oct-20,1,,,0.25,22.43,Account,8,#REF!,#REF!,#REF!,22.43,#REF!,#REF!,Mon,Tue
A00177,West,Burton,Assess,,5-Oct-20,13-Oct-20,1,,,0.5,26.58,Account,8,#REF!,#REF!,#REF!,26.58,#REF!,#REF!,Mon,Tue
A00178,Central,Cartier,Assess,,5-Oct-20,24-Oct-20,1,,,0.5,288.21,C.O.D.,19,#REF!,#REF!,#REF!,288.21,#REF!,#REF!,Mon,Sat
A00179,South,Lopez,Replace,,5-Oct-20,19-Oct-20,1,,,0.5,54.24,Account,14,#REF!,#REF!,#REF!,54.24,#REF!,#REF!,Mon,Mon
A00180,West,Lopez,Assess,,6-Oct-20,19-Oct-20,1,,,0.25,332.4,P.O.,13,#REF!,#REF!,#REF!,332.4,#REF!,#REF!,Tue,Mon
A00181,Northwest,Khan,Assess,,6-Oct-20,23-Oct-20,2,,,0.75,124.16,C.O.D.,17,#REF!,#REF!,#REF!,124.16,#REF!,#REF!,Tue,Fri
A00182,Central,Burton,Deliver,,6-Oct-20,26-Oct-20,1,,,0.25,21.63,Account,20,#REF!,#REF!,#REF!,21.63,#REF!,#REF!,Tue,Mon
A00183,Northwest,Khan,Assess,,7-Oct-20,19-Oct-20,2,,Yes,0.25,33,C.O.D.,12,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Wed,Mon
A00184,Northwest,Khan,Assess,,7-Oct-20,19-Oct-20,2,,,0.5,154.5,C.O.D.,12,#REF!,#REF!,#REF!,154.5,#REF!,#REF!,Wed,Mon
A00185,South,Lopez,Repair,,7-Oct-20,20-Oct-20,1,,,1,48.75,Account,13,#REF!,#REF!,#REF!,48.75,#REF!,#REF!,Wed,Tue
A00186,South,Lopez,Deliver,,8-Oct-20,20-Oct-20,1,,,0.25,76.17,Account,12,#REF!,#REF!,#REF!,76.17,#REF!,#REF!,Thu,Tue
A00187,Northwest,Khan,Replace,,8-Oct-20,7-Nov-20,1,,,0.75,117,C.O.D.,30,#REF!,#REF!,#REF!,117,#REF!,#REF!,Thu,Sat
A00188,Northwest,Cartier,Repair,,8-Oct-20,10-Nov-20,2,,,1.5,"1,575.97",C.O.D.,33,#REF!,#REF!,#REF!,"1,575.97",#REF!,#REF!,Thu,Tue
A00189,West,Khan,Replace,,8-Oct-20,18-Nov-20,1,,,0.5,21.33,P.O.,41,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Thu,Wed
A00190,Southeast,Michner,Replace,,8-Oct-20,30-Nov-20,1,,,0.5,74.79,Account,53,#REF!,#REF!,#REF!,74.79,#REF!,#REF!,Thu,Mon
A00191,Northeast,Michner,Repair,,8-Oct-20,1-Dec-20,2,,,4.75,"1,123.97",C.O.D.,54,#REF!,#REF!,#REF!,"1,123.97",#REF!,#REF!,Thu,Tue
A00192,Central,Burton,Assess,,12-Oct-20,26-Oct-20,2,,,1,128.98,Account,14,#REF!,#REF!,#REF!,128.98,#REF!,#REF!,Mon,Mon
A00193,West,Khan,Replace,,12-Oct-20,4-Nov-20,1,,,0.5,144,P.O.,23,#REF!,#REF!,#REF!,144,#REF!,#REF!,Mon,Wed
A00194,Central,Michner,Assess,,12-Oct-20,5-Nov-20,2,,,1,"1,211.83",Account,24,#REF!,#REF!,#REF!,"1,211.83",#REF!,#REF!,Mon,Thu
A00195,South,Michner,Replace,,12-Oct-20,18-Nov-20,1,,,0.5,54.12,Account,37,#REF!,#REF!,#REF!,54.12,#REF!,#REF!,Mon,Wed
A00196,Northwest,Michner,Assess,Yes,12-Oct-20,19-Nov-20,1,,,0.5,55.94,C.O.D.,38,#REF!,#REF!,#REF!,55.94,#REF!,#REF!,Mon,Thu
A00197,Southeast,Michner,Assess,Yes,13-Oct-20,27-Oct-20,1,,,0.5,11.06,P.O.,14,#REF!,#REF!,#REF!,11.06,#REF!,#REF!,Tue,Tue
A00198,West,Khan,Repair,,13-Oct-20,27-Oct-20,1,,,2,77.17,Account,14,#REF!,#REF!,#REF!,77.17,#REF!,#REF!,Tue,Tue
A00199,Northwest,Khan,Assess,,14-Oct-20,19-Oct-20,2,,,0.5,66.16,Account,5,#REF!,#REF!,#REF!,66.16,#REF!,#REF!,Wed,Mon
A00200,Southwest,Michner,Deliver,,14-Oct-20,27-Oct-20,1,,,0.25,27.95,Account,13,#REF!,#REF!,#REF!,27.95,#REF!,#REF!,Wed,Tue
A00201,West,Khan,Assess,,14-Oct-20,27-Oct-20,1,,,1,216.31,C.O.D.,13,#REF!,#REF!,#REF!,216.31,#REF!,#REF!,Wed,Tue
A00202,Central,Burton,Repair,,14-Oct-20,3-Nov-20,2,,,2,619.51,P.O.,20,#REF!,#REF!,#REF!,619.51,#REF!,#REF!,Wed,Tue
A00203,West,Michner,Replace,,14-Oct-20,10-Nov-20,1,,,0.5,3.12,C.O.D.,27,#REF!,#REF!,#REF!,3.12,#REF!,#REF!,Wed,Tue
A00204,Central,Michner,Assess,,15-Oct-20,22-Oct-20,1,,,0.75,163.26,Account,7,#REF!,#REF!,#REF!,163.26,#REF!,#REF!,Thu,Thu
A00205,South,Lopez,Deliver,,15-Oct-20,28-Oct-20,1,,,0.25,65.25,Account,13,#REF!,#REF!,#REF!,65.25,#REF!,#REF!,Thu,Wed
A00206,West,Michner,Deliver,,15-Oct-20,10-Nov-20,1,,,0.25,30,P.O.,26,#REF!,#REF!,#REF!,30,#REF!,#REF!,Thu,Tue
A00207,West,Michner,Replace,,15-Oct-20,10-Nov-20,1,,,0.5,105.84,Account,26,#REF!,#REF!,#REF!,105.84,#REF!,#REF!,Thu,Tue
A00208,Northwest,Burton,Replace,,19-Oct-20,5-Nov-20,2,,,1,547.09,C.O.D.,17,#REF!,#REF!,#REF!,547.09,#REF!,#REF!,Mon,Thu
A00209,West,Michner,Replace,,19-Oct-20,25-Nov-20,1,,,1,120,P.O.,37,#REF!,#REF!,#REF!,120,#REF!,#REF!,Mon,Wed
A00210,Northwest,Khan,Assess,,20-Oct-20,30-Oct-20,1,,,0.25,30,Account,10,#REF!,#REF!,#REF!,30,#REF!,#REF!,Tue,Fri
A00211,Central,Cartier,Deliver,,20-Oct-20,24-Nov-20,1,,,0.25,27.63,Account,35,#REF!,#REF!,#REF!,27.63,#REF!,#REF!,Tue,Tue
A00212,Central,Burton,Assess,,21-Oct-20,6-Nov-20,1,,,0.25,250.42,Account,16,#REF!,#REF!,#REF!,250.42,#REF!,#REF!,Wed,Fri
A00213,Northwest,Michner,Assess,Yes,21-Oct-20,5-Nov-20,2,,,0.25,38.7,C.O.D.,15,#REF!,#REF!,#REF!,38.7,#REF!,#REF!,Wed,Thu
A00214,Northwest,Cartier,Assess,Yes,21-Oct-20,10-Nov-20,2,,,0.25,33,Account,20,#REF!,#REF!,#REF!,33,#REF!,#REF!,Wed,Tue
A00215,West,Michner,Assess,,21-Oct-20,10-Nov-20,1,,,0.75,126,P.O.,20,#REF!,#REF!,#REF!,126,#REF!,#REF!,Wed,Tue
A00216,Central,Michner,Install,,21-Oct-20,25-Jan-21,2,,,8.25,"4,946.00",Account,96,#REF!,#REF!,#REF!,"4,946.00",#REF!,#REF!,Wed,Mon
A00217,Southeast,Michner,Replace,Yes,22-Oct-20,29-Oct-20,1,,,0.5,33.54,P.O.,7,#REF!,#REF!,#REF!,33.54,#REF!,#REF!,Thu,Thu
A00218,Central,Burton,Assess,,24-Oct-20,6-Nov-20,2,,,0.25,25,Account,13,#REF!,#REF!,#REF!,25,#REF!,#REF!,Sat,Fri
A00219,West,Khan,Assess,,24-Oct-20,24-Nov-20,1,,,0.5,28.59,Account,31,#REF!,#REF!,#REF!,28.59,#REF!,#REF!,Sat,Tue
A00220,West,Burton,Replace,,24-Oct-20,14-Dec-20,2,,,2.5,213.48,Account,51,#REF!,#REF!,#REF!,213.48,#REF!,#REF!,Sat,Mon
A00221,West,Khan,Assess,,26-Oct-20,27-Oct-20,1,,,0.5,83.44,Account,1,#REF!,#REF!,#REF!,83.44,#REF!,#REF!,Mon,Tue
A00222,Southeast,Khan,Repair,,26-Oct-20,17-Nov-20,2,,,1,25,C.O.D.,22,#REF!,#REF!,#REF!,25,#REF!,#REF!,Mon,Tue
A00223,South,Lopez,Assess,,27-Oct-20,17-Nov-20,1,,,0.25,67.96,Account,21,#REF!,#REF!,#REF!,67.96,#REF!,#REF!,Tue,Tue
A00224,West,Khan,Replace,,27-Oct-20,16-Dec-20,1,,,0.5,172.02,P.O.,50,#REF!,#REF!,#REF!,172.02,#REF!,#REF!,Tue,Wed
A00225,South,Lopez,Assess,,27-Oct-20,16-Jan-21,1,,,0.5,102.22,P.O.,81,#REF!,#REF!,#REF!,102.22,#REF!,#REF!,Tue,Sat
A00226,South,Lopez,Replace,,28-Oct-20,30-Nov-20,1,,,0.5,373.55,Account,33,#REF!,#REF!,#REF!,373.55,#REF!,#REF!,Wed,Mon
A00227,South,Lopez,Install,,28-Oct-20,1-Dec-20,3,,,2.75,"1,249.09",Account,34,#REF!,#REF!,#REF!,"1,249.09",#REF!,#REF!,Wed,Tue
A00228,Northwest,Khan,Deliver,,29-Oct-20,6-Nov-20,1,,,0.25,240,Account,8,#REF!,#REF!,#REF!,240,#REF!,#REF!,Thu,Fri
A00229,Northwest,Cartier,Deliver,,29-Oct-20,18-Nov-20,1,,,0.25,27,C.O.D.,20,#REF!,#REF!,#REF!,27,#REF!,#REF!,Thu,Wed
A00230,West,Khan,Replace,,2-Nov-20,4-Nov-20,2,,,1,228.63,C.O.D.,2,#REF!,#REF!,#REF!,228.63,#REF!,#REF!,Mon,Wed
A00231,West,Michner,Assess,,2-Nov-20,25-Nov-20,1,,,0.5,26.58,Account,23,#REF!,#REF!,#REF!,26.58,#REF!,#REF!,Mon,Wed
A00232,North,Michner,Replace,,2-Nov-20,7-Dec-20,2,,,0.75,5.71,Account,35,#REF!,#REF!,#REF!,5.71,#REF!,#REF!,Mon,Mon
A00233,Central,Michner,Replace,,2-Nov-20,11-Jan-21,2,,,0.5,263.05,C.O.D.,70,#REF!,#REF!,#REF!,263.05,#REF!,#REF!,Mon,Mon
A00234,Southeast,Cartier,Replace,,2-Nov-20,15-Apr-21,2,,,1.75,8.25,Account,164,#REF!,#REF!,#REF!,8.25,#REF!,#REF!,Mon,Thu
A00235,Southeast,Khan,Replace,,3-Nov-20,30-Nov-20,1,,,0.5,15.63,Account,27,#REF!,#REF!,#REF!,15.63,#REF!,#REF!,Tue,Mon
A00236,Central,Michner,Replace,,3-Nov-20,2-Dec-20,1,,,0.5,15.63,Account,29,#REF!,#REF!,#REF!,15.63,#REF!,#REF!,Tue,Wed
A00237,Southeast,Burton,Assess,,3-Nov-20,8-Dec-20,1,,,0.75,28.5,C.O.D.,35,#REF!,#REF!,#REF!,28.5,#REF!,#REF!,Tue,Tue
A00238,West,Khan,Replace,,4-Nov-20,9-Nov-20,1,,,0.5,748.44,Account,5,#REF!,#REF!,#REF!,748.44,#REF!,#REF!,Wed,Mon
A00239,West,Michner,Install,,4-Nov-20,17-Nov-20,1,,,1,86.36,P.O.,13,#REF!,#REF!,#REF!,86.36,#REF!,#REF!,Wed,Tue
A00240,North,Cartier,Deliver,,4-Nov-20,17-Nov-20,1,,,0.25,108,P.O.,13,#REF!,#REF!,#REF!,108,#REF!,#REF!,Wed,Tue
A00241,Central,Cartier,Replace,,4-Nov-20,24-Nov-20,2,,,0.5,279.31,Account,20,#REF!,#REF!,#REF!,279.31,#REF!,#REF!,Wed,Tue
A00242,West,Khan,Assess,,4-Nov-20,2-Dec-20,1,,,0.5,25.26,Account,28,#REF!,#REF!,#REF!,25.26,#REF!,#REF!,Wed,Wed
A00243,Central,Cartier,Replace,,5-Nov-20,18-Nov-20,1,,,1,351.02,C.O.D.,13,#REF!,#REF!,#REF!,351.02,#REF!,#REF!,Thu,Wed
A00244,West,Michner,Replace,,5-Nov-20,25-Nov-20,1,,,0.5,27.95,Account,20,#REF!,#REF!,#REF!,27.95,#REF!,#REF!,Thu,Wed
A00245,Northwest,Burton,Assess,,7-Nov-20,9-Dec-20,2,,,0.75,62.13,Account,32,#REF!,#REF!,#REF!,62.13,#REF!,#REF!,Sat,Wed
A00246,South,Lopez,Install,,9-Nov-20,26-Nov-20,1,,,7,"3,396.25",P.O.,17,#REF!,#REF!,#REF!,"3,396.25",#REF!,#REF!,Mon,Thu
A00247,East,Ling,Replace,,9-Nov-20,3-Mar-21,2,,,0.5,22,Account,114,#REF!,#REF!,#REF!,22,#REF!,#REF!,Mon,Wed
A00248,West,Khan,Replace,,10-Nov-20,9-Dec-20,1,,,0.5,163.37,P.O.,29,#REF!,#REF!,#REF!,163.37,#REF!,#REF!,Tue,Wed
A00249,South,Lopez,Assess,,11-Nov-20,25-Nov-20,1,,,0.25,25.41,Account,14,#REF!,#REF!,#REF!,25.41,#REF!,#REF!,Wed,Wed
A00250,Southeast,Cartier,Replace,,11-Nov-20,3-Dec-20,2,,,0.75,182.7,C.O.D.,22,#REF!,#REF!,#REF!,182.7,#REF!,#REF!,Wed,Thu
A00251,Southeast,Khan,Replace,,11-Nov-20,30-Nov-20,1,,,0.5,73.51,C.O.D.,19,#REF!,#REF!,#REF!,73.51,#REF!,#REF!,Wed,Mon
A00252,Central,Cartier,Replace,Yes,11-Nov-20,1-Dec-20,2,,,0.5,115.22,Account,20,#REF!,#REF!,#REF!,115.22,#REF!,#REF!,Wed,Tue
A00253,Northwest,Cartier,Replace,,12-Nov-20,19-Nov-20,2,,,0.75,340.45,C.O.D.,7,#REF!,#REF!,#REF!,340.45,#REF!,#REF!,Thu,Thu
A00254,West,Khan,Assess,,12-Nov-20,26-Nov-20,1,,,0.5,12,Account,14,#REF!,#REF!,#REF!,12,#REF!,#REF!,Thu,Thu
A00255,Southeast,Khan,Replace,,13-Nov-20,24-Nov-20,1,,,0.5,36.75,Account,11,#REF!,#REF!,#REF!,36.75,#REF!,#REF!,Fri,Tue
